hewan,diagnosa,jumlah_hewan_yang_diperiksa,pengobatan
Anjing,Abortus,0,"Vetoxy La, Vetadryl, Sulpidone, Hematodin"
Anjing,Abses,0,"Cefotaxime,Dexamethason,Biosolamin,Septo Skin Spray"
Anjing,Acral Lick Dermatitis,0,"Bethamox, Vitol Ade, Vetadryl"
Anjing,Aggenesis Anni,0,Op Pembuatan Anus
Anjing,Alergi,0,"Vetadryl, Vit Ade."
Anjing,Anemia,0,"Hematodin, Vetadryl"
Anjing,Arthritis,0,"Calcidex, Vit Ade, Dexamethazone, Biodin"
Anjing,Avitaminosis,0,"Inj/ Betamox, Vetadryl, Hematodin, Biodin, Curvit"
Anjing,BEF,0,"Vetoxy LA, Vetadryl, Sulpidone, Hematodin"
Anjing,Bronkitis,0,"Cefadroxil, Ambroxol, Dexamethason, Vit C"
Anjing,Calici,0,"Clavamox, Pronisi, Vi. C, Imboost"
Anjing,Check Up,0,Hematodin
Anjing,Chlamydia,0,"Dexamethason, Chloramphenicol Salep Mata"
Anjing,Chlongiohepatitis,0,"Betamox, Vetadryl, Hematopan , Biodin "
Anjing,CKD,0,"Ketosteril, Lenal Ace, Ornipural"
Anjing,Conjunctivitis,0,"Dexamethason, Chloramphenicol Salep Mata"
Anjing,Dehidrasi,0,"Hematodin, Cairan RL"
Anjing,Demam Non Spesifik,0,"Bethamox, Hematodin, Sulpidone"
Anjing,Demodecosisi,0," Ivomec, Vetadryl"
Anjing,Dermatitis,0,"Ivermectin,Lincomycin,Prednisone,Biosolamin,Inmunair"
Anjing,Dermatophytosis,0,"Sebazole, Chlorhexidine, Vetadryl"
Anjing,Diarrhea,0,"Bethamox, Vetadryl, Biodin, Hematodin"
Anjing,Dislokasi,0,"Bethamox, Hematodin, Dexamethazone"
Anjing,Distokia,0,"Ketamin, Lidocaine, Dexamethasone, Vit B1 , Caesar"
Anjing,DIPHYLIDIASIS,0,"Inj / Betamox, Vetadryl, Hematopan R/ Drontal Cat"
Anjing,Ear mites,1,"Ivermectin, Roborante, Erlamicetin Tetes Telinga"
Anjing,Ektoparasitosis,0,"Ivermectin, Roborante"
Anjing,Endoparasit,1,"Doxycycline, Clindamycin, Ivermectine, Selamectine"
Anjing,Enteritis,1,"Biosolamin,Loperamide,Flagyl,Inmunair"
Anjing,EGC,0,"Doxycycline,Dexa, Catosal"
Anjing,Endophtalmitis,0,"Inj/ Betamox, Tolfedine , Hematopan , Biodin "
Anjing,Endometritis,0,"Doxyciclin,Dexamethason, Biosolamin"
Anjing,Febris,0,"Vit. B Complek, Stimuno"
Anjing,FCV,0,"Inj / Vetadryl , Aminophyline , Vetoxy , Hematopan , Biodin R/ Infus Rl Subkutan "
Anjing,FHV / FRV,0,"Vitamin C , Vetadryl, Hematopan, Biodin"
Anjing,FIC,0,Flunixin
Anjing,FIP,0,"Doxycycline, Curcuma, B Complek"
Anjing,FLUTD,0,"Pasang Cateter,Ampicillin,Aminophyllin,Biosolamin,"
Anjing,Flu,0,"Cefotaxime,Ampicillin,Aminophyllin,Biosolamin,Fluimucil"
Anjing,Fraktur,2,"Operasi Pasang Pen, Bandage, Meloxicam"
Anjing,FUC,0,"Betamox, Tolfedin , Hematopan , Biodin"
Anjing,Gangguan Syaraf Tulang Belakang,0,"Bethamox, Vitamin B1, Dexametazone, Hematodin"
Anjing,Gastritis,0,"Primperan,Biosolamin,Prednisone,Cefotaxime"
Anjing,Gastroenteritis,0,"Primperan,Biosolamin,Flagyl,Loperamide,Mylanta"
Anjing,Ginggivitis,0,"Betamox, Vetadryl"
